Hole Cards,Strength
As Ah,0.8501
Ks Kh,0.822
Qs Qh,0.79965
Js Jh,0.783
Ts Th,0.7472
9s 9h,0.7123
8s 8h,0.6885
Ks As,0.6783
Qs As,0.65865
Js As,0.6579
7s 7h,0.6494
Ks Ah,0.64845
Ts As,0.6453
Qs Ah,0.64045
6s 6h,0.6392
Js Ah,0.6377
Qs Ks,0.6344
Ts Ah,0.63085
Js Ks,0.62475
9s As,0.62255
Qs Kh,0.6198
8s As,0.61755
Ts Ks,0.6153
7s As,0.61195
9s Ah,0.6099
Js Kh,0.6093
5s 5h,0.60675
8s Ah,0.6049
Js Qs,0.60245
6s As,0.60055
Ts Kh,0.59985
9s Ks,0.5989
5s As,0.59835
7s Ah,0.5937
Ts Qs,0.5933
3s As,0.59115
8s Ks,0.5883
Js Qh,0.5832
4s As,0.58175
9s Kh,0.58085
Ts Js,0.58085
5s Ah,0.58025
7s Ks,0.57785
9s Qs,0.57595
2s As,0.57515
Ts Qh,0.57465
6s Ah,0.57135
4s 4h,0.56875
6s Ks,0.5657
8s Kh,0.5652
4s Ah,0.56285
9s Js,0.55945
8s Qs,0.55775
3s Ah,0.5561
7s Kh,0.5534
5s Ks,0.55195
Ts Jh,0.5497
9s Qh,0.547
2s Ah,0.54665
6s Kh,0.54605
7s Qs,0.5452
4s Ks,0.54395
3s Ks,0.5401
9s Ts,0.53955
5s Kh,0.5384
6s Qs,0.53675
9s Jh,0.53475
8s Qh,0.534
2s Ks,0.53365
8s Js,0.53305
3s 3h,0.53275
4s Kh,0.52685
7s Qh,0.52495
5s Qs,0.5242
8s Ts,0.524
7s Js,0.52205
4s Qs,0.5208
9s Th,0.51845
3s Kh,0.51565
8s Jh,0.51195
2s Kh,0.5114
6s Qh,0.5101
2s 2h,0.5094
8s 9s,0.50935
3s Qs,0.5086
6s Js,0.5083
2s Qs,0.50605
5s Qh,0.5013
7s Ts,0.49985
4s Js,0.4994
5s Js,0.49745
8s Th,0.49715
7s 9s,0.4954
4s Qh,0.4915
7s Jh,0.48845
6s Ts,0.4858
3s Js,0.48575
6s Jh,0.4854
7s 8s,0.4838
8s 9h,0.48015
3s Qh,0.47995
5s Ts,0.47865
7s Th,0.47755
6s 9s,0.47695
2s Js,0.47545
5s Jh,0.47465
2s Qh,0.47265
6s 8s,0.47205
4s Jh,0.4715
6s Th,0.47
4s Ts,0.46805
7s 8h,0.45705
3s Ts,0.45635
5s 9s,0.45595
7s 9h,0.4553
6s 9h,0.45355
6s 7s,0.4529
3s Jh,0.44915
5s 8s,0.44735
2s Jh,0.4454
2s Ts,0.4442
5s 7s,0.43985
3s 9s,0.4377
4s 9s,0.4373
4s Th,0.4345
5s Th,0.4344
5s 6s,0.43415
6s 8h,0.43175
5s 9h,0.43055
3s Th,0.42945
6s 7h,0.4278
2s 9s,0.427
4s 7s,0.42555
4s 8s,0.423
3s 8s,0.41395
4s 6s,0.41365
4s 5s,0.4127
5s 8h,0.4105
2s 8s,0.40885
4s 9h,0.4077
5s 7h,0.40695
2s Th,0.40675
3s 9h,0.40625
3s 7s,0.39945
5s 6h,0.3977
3s 6s,0.3976
4s 8h,0.3942
4s 7h,0.3936
3s 5s,0.3933
2s 5s,0.3878
4s 5h,0.38655
2s 7s,0.38505
3s 4s,0.38245
3s 8h,0.382
2s 9h,0.3799
2s 6s,0.3798
4s 6h,0.3763
2s 8h,0.3695
3s 7h,0.3681
3s 6h,0.3657
3s 5h,0.36235
3s 4h,0.36185
2s 3s,0.3606
2s 4s,0.35925
2s 5h,0.34595
2s 7h,0.34165
2s 6h,0.33975
2s 4h,0.3357
2s 3h,0.32465
